Name,gtts_language,Language
Bachu,ta,Tamil
Bachumal,ta,Tamil
Badan,ta,Tamil
Badri,ta,Tamil
Bahadur,ta,Tamil
Bai,ta,Tamil
Baij,ta,Tamil
Bakhshi,ta,Tamil
Bakshi,ta,Tamil
Baksi,ta,Tamil
Bala,ta,Tamil
Balak,ta,Tamil
Balbir,ta,Tamil
Baldeo,ta,Tamil
Basanti,ta,Tamil
Basawa,ta,Tamil
Basheshar,ta,Tamil
Baxi,ta,Tamil
Beena,ta,Tamil
Behari,ta,Tamil
Bela,ta,Tamil
Beli,ta,Tamil
Beni,ta,Tamil
Bhag,ta,Tamil
Bhagat,ta,Tamil
Bhagirat,ta,Tamil
Bhagirath,ta,Tamil
Bhagmal,ta,Tamil
Bhagwan,ta,Tamil
Bhagwant,ta,Tamil
Bhagwat,ta,Tamil
Bhajan,ta,Tamil
Bban,ta,Tamil
Bbarat,ta,Tamil
Bbiku,ta,Tamil
Bbim,ta,Tamil
Bhola,ta,Tamil
Bhondu,ta,Tamil
Bhoora,ta,Tamil
Bhopinder,ta,Tamil
Bhure,ta,Tamil
Bbushan,ta,Tamil
Bicbha,ta,Tamil
Bikbi,ta,Tamil
Bilas,ta,Tamil
Binay,ta,Tamil
Binj,ta,Tamil
Birbal,ta,Tamil
Bishambar,ta,Tamil
Bisbamber,ta,Tamil
Bishambher,ta,Tamil
Bisban,ta,Tamil
Bishashwar,ta,Tamil
Bishun,ta,Tamil
Bogha,ta,Tamil
Boolchand,ta,Tamil
Boora,ta,Tamil
Bulchand,ta,Tamil
Braham,ta,Tamil
Brabama,ta,Tamil
Brahamma,ta,Tamil
Brahm,ta,Tamil
Brahma,ta,Tamil
Braj,ta,Tamil
Brajeshwar,ta,Tamil
Brij,ta,Tamil
Budh,ta,Tamil
Bukshi,ta,Tamil
Bulaki,ta,Tamil
Buland,ta,Tamil
Bupendra,ta,Tamil
Buta,ta,Tamil
Butta,ta,Tamil
Champat,ta,Tamil
Cbanan,ta,Tamil
Chand,ta,Tamil
Chander,ta,Tamil
Chandgi,ta,Tamil
Chandi,ta,Tamil
Chandu,ta,Tamil
Changa,ta,Tamil
Charan,ta,Tamil
Charanji,ta,Tamil
Charat,ta,Tamil
Chet,ta,Tamil
Chetan,ta,Tamil
Chhajoo,ta,Tamil
Chhaju,ta,Tamil
Chhata,ta,Tamil
Chhedi,ta,Tamil
Chhotey,ta,Tamil
Chiman,ta,Tamil
Chiranji,ta,Tamil
Chiranjit,ta,Tamil
Chuna,ta,Tamil
Cbuni,ta,Tamil
Chunna,ta,Tamil
Cbuttan,ta,Tamil
Das,ta,Tamil
Dass,ta,Tamil
Datt,ta,Tamil
Datta,ta,Tamil
Dau,ta,Tamil
Davendra,ta,Tamil
Dayal,ta,Tamil
Deo,ta,Tamil
Dershan,ta,Tamil
Des,ta,Tamil
Desh,ta,Tamil
Dev,ta,Tamil
Deva,ta,Tamil
Devender,ta,Tamil
Devendra,ta,Tamil
Devi (also F,ta,Tamil
Devindar,ta,Tamil
Devinder,ta,Tamil
Chaman,ta,Tamil
Devindra,ta,Tamil
Devki,ta,Tamil
Dewan,ta,Tamil
Dhanesh,ta,Tamil
Dhani,ta,Tamil
Dhanpat,ta,Tamil
Dhanraj,ta,Tamil
Dhanwant,ta,Tamil
Dharam,ta,Tamil
Dharma,ta,Tamil
Dharmender,ta,Tamil
Dbera,ta,Tamil
Dhian,ta,Tamil
Dhoomi,ta,Tamil
Din,ta,Tamil
Dina,ta,Tamil
Dip,ta,Tamil
Diwan,ta,Tamil
Diyal,ta,Tamil
Doda,ta,Tamil
Dogar,ta,Tamil
Doli,ta,Tamil
Doongar,ta,Tamil
Doshandha,ta,Tamil
Duli,ta,Tamil
Duni,ta,Tamil
Durga,ta,Tamil
Dwarka,ta,Tamil
Dyal,ta,Tamil
Fakir,ta,Tamil
Faqir,ta,Tamil
Fateh,ta,Tamil
Gajendra,ta,Tamil
Gajraj,ta,Tamil
Ganesh,ta,Tamil
Ganeshi,ta,Tamil
Ganga,ta,Tamil
Ganpat,ta,Tamil
Gargi,ta,Tamil
Gauri,ta,Tamil
Gaurimal			,ta,Tamil
Gautam								,ta,Tamil
Ghamandi				,ta,Tamil
Gbanisham,ta,Tamil
Ghanoo,ta,Tamil
Ghansham	,ta,Tamil
Ghansbyam,ta,Tamil
Ghasi	,ta,Tamil
Gian	,ta,Tamil
Girdhar			,ta,Tamil
Girdhari				,ta,Tamil
Giri				,ta,Tamil
Gobind				,ta,Tamil
Gocal				,ta,Tamil
Gokal				,ta,Tamil
Cokul,ta,Tamil
Gomti,ta,Tamil
Gopal,ta,Tamil
Gopi,ta,Tamil
Gordhan,ta,Tamil
Govardhan,ta,Tamil
Goverdban,ta,Tamil
Govind,ta,Tamil
Gujar,ta,Tamil
Gujjar,ta,Tamil
Gulab,ta,Tamil
Gulaba,ta,Tamil
Gulshan,ta,Tamil
Gulzar,ta,Tamil
Gulzari,ta,Tamil
Gurbachan,ta,Tamil
Gurbakhsh,ta,Tamil
Gurbaksh,ta,Tamil
Gurbas,ta,Tamil
Gurbhnan,ta,Tamil
Gurbux,ta,Tamil
Gurcharan,ta,Tamil
Gurdas ,ta,Tamil
Gurdev,ta,Tamil
Gurdial,ta,Tamil
Gurdip,ta,Tamil
Gurdit,ta,Tamil
Gurditta,ta,Tamil
Gurmukh,ta,Tamil
Gurnarain,ta,Tamil
Guru,ta,Tamil
Gyan,ta,Tamil
Hem,ta,Tamil
Hakumat,ta,Tamil
Heera,ta,Tamil
Hemraj,ta,Tamil
Hamir,ta,Tamil
Hans,ta,Tamil
Har,ta,Tamil
Harbans,ta,Tamil
Harbhagwant,ta,Tamil
Harghajan,ta,Tamil
Harcband ,ta,Tamil
Indar,ta,Tamil
Hardayal,ta,Tamil
Inderjeet,ta,Tamil
Hardev,ta,Tamil
Hardial,ta,Tamil
Iqbal,ta,Tamil
Hardwari,ta,Tamil
Hardwarimal,ta,Tamil
Hardyal,ta,Tamil
Harendra,ta,Tamil
Hargopal,ta,Tamil
Hargundas,ta,Tamil
Hari,ta,Tamil
Indraj,ta,Tamil
Ish,ta,Tamil
Ishar,ta,Tamil
Harji,ta,Tamil
Harkirat,ta,Tamil
Harkishan,ta,Tamil
Harminder ,ta,Tamil
Jaggi,ta,Tamil
Harmohan,ta,Tamil
Jagjit,ta,Tamil
Harmohinder ,ta,Tamil
Harnam,ta,Tamil
Harnarain,ta,Tamil
Harpal,ta,Tamil
Harphool,ta,Tamil
Harsa,ta,Tamil
Harwand,ta,Tamil
Harya,ta,Tamil
Haveli,ta,Tamil
Hawali,ta,Tamil
Hazara,ta,Tamil
Hazari,ta,Tamil
Hazura,ta,Tamil
Jaigopal,ta,Tamil
Jaikishan,ta,Tamil
Jaimal,ta,Tamil
Jagadhar,ta,Tamil
jagan,ta,Tamil
Jagat,ta,Tamil
Jagatjit,ta,Tamil
Jagdish,ta,Tamil
Jagdev,ta,Tamil
Jagir,ta,Tamil
Himat,ta,Tamil
Hira,ta,Tamil
Hot,ta,Tamil
Hukam,ta,Tamil
Harcharan,ta,Tamil
Hardarshan ,ta,Tamil
Inder,ta,Tamil
Inderjit,ta,Tamil
Indra,ta,Tamil
Hardit,ta,Tamil
Harihar,ta,Tamil
Harish,ta,Tamil
Harjas,ta,Tamil
Harjeet,ta,Tamil
Ishwar,ta,Tamil
Harjinder,ta,Tamil
Harjit,ta,Tamil
Jagjivan,ta,Tamil
Jagjodh,ta,Tamil
Jagmair,ta,Tamil
Jagmohan,ta,Tamil
jagta,ta,Tamil
Jagtar,ta,Tamil
Jai,ta,Tamil
Jaipal,ta,Tamil
Jang,ta,Tamil
Jado,ta,Tamil
Jag,ta,Tamil
Jadinder,ta,Tamil
Janki,ta,Tamil
Jasbeer,ta,Tamil
Jasbir,ta,Tamil
Jaskaran,ta,Tamil
Jasmer,ta,Tamil
Jaspal,ta,Tamil
Jaswant,ta,Tamil
Jatinder,ta,Tamil
Jattu,ta,Tamil
Jawabar,ta,Tamil
Jawala,ta,Tamil
Jay,ta,Tamil
Jaya,ta,Tamil
Jayant,ta,Tamil
Jayanti,ta,Tamil
Jaywant,ta,Tamil
Jeewan,ta,Tamil
Jiwan,ta,Tamil
Jbandu,ta,Tamil
Jia,ta,Tamil
Jinendra,ta,Tamil
Jisbnu,ta,Tamil
Jit,ta,Tamil
Jitendra,ta,Tamil
Jitinder,ta,Tamil
Jiya,ta,Tamil
Jodh,ta,Tamil
Jodba,ta,Tamil
Jog,ta,Tamil
Joga,ta,Tamil
Jogender,ta,Tamil
Joginder,ta,Tamil
Jogindra,ta,Tamil
Johri,ta,Tamil
Jokhi,ta,Tamil
Joti,ta,Tamil
Jugal,ta,Tamil
Juggilal,ta,Tamil
Julli,ta,Tamil
Jwala,ta,Tamil
Kailasb,ta,Tamil
Kala,ta,Tamil
Kali,ta,Tamil
Kalian,ta,Tamil
Kalika,ta,Tamil
Kalu,ta,Tamil
Kalwant,ta,Tamil
Kalyan,ta,Tamil
Kamal,ta,Tamil
Kamaljit,ta,Tamil
Kamlesh,ta,Tamil
Kamta,ta,Tamil
Kanaya,ta,Tamil
Kanshi,ta,Tamil
Kanta,ta,Tamil
Kanti,ta,Tamil
Kanwal,ta,Tamil
Kanya,ta,Tamil
Kapil,ta,Tamil
Kapila,ta,Tamil
Karam,ta,Tamil
Karnail,ta,Tamil
Karori,ta,Tamil
Kartar,ta,Tamil
Kashi,ta,Tamil
Kasturi,ta,Tamil
Kawal,ta,Tamil
Kedar,ta,Tamil
Kehar,ta,Tamil
Kesar,ta,Tamil
Keshar,ta,Tamil
Keshava,ta,Tamil
Kesho,ta,Tamil
Kesra,ta,Tamil
Kesri,ta,Tamil
Kewal,ta,Tamil
Kharaiti,ta,Tamil
Kharati,ta,Tamil
Kharak,ta,Tamil
Kbarg,ta,Tamil
Kbem,ta,Tamil
Kherati,ta,Tamil
Kbiwant,ta,Tamil
Khushal,ta,Tamil
Khushi,ta,Tamil
Kbushwant,ta,Tamil
Kidar,ta,Tamil
Kabul,ta,Tamil
Kaban,ta,Tamil
Kailas,ta,Tamil
Kimat,ta,Tamil
Kirori,ta,Tamil
Kirpa,ta,Tamil
Kirpal,ta,Tamil
Kisban,ta,Tamil
Kishin,ta,Tamil
Kishore,ta,Tamil
Kisbori,ta,Tamil
Kripal,ta,Tamil
Krishan,ta,Tamil
Krishna,ta,Tamil
Kul,ta,Tamil
Kuldip,ta,Tamil
Kuldup,ta,Tamil
Kuljit,ta,Tamil
Kulmohan,ta,Tamil
Kulwant,ta,Tamil
Kumari,ta,Tamil
Kundan,ta,Tamil
Kunj,ta,Tamil
Labya,ta,Tamil
Lacchi,ta,Tamil
Laccbomal,ta,Tamil
Lachhman,ta,Tamil
Lachman,ta,Tamil
Lachmi,ta,Tamil
Lajpat,ta,Tamil
Lakhi,ta,Tamil
Lakhmi,ta,Tamil
Lakshmi (also,ta,Tamil
Lakshman,ta,Tamil
Lai,ta,Tamil
Lalit,ta,Tamil
Lalita,ta,Tamil
Lall,ta,Tamil
Lalta,ta,Tamil
Laul,ta,Tamil
Laxmi,ta,Tamil
Laxman,ta,Tamil
Leela,ta,Tamil
Lekhi,ta,Tamil
Lila,ta,Tamil
Loke,ta,Tamil
Lota,ta,Tamil
Luxmi,ta,Tamil
Madan,ta,Tamil
Madho,ta,Tamil
Madhuri,ta,Tamil
Mahabir,ta,Tamil
Mahan,ta,Tamil
Mabaraj,ta,Tamil
Mahabeer,ta,Tamil
Mahaveer,ta,Tamil
Mahavir,ta,Tamil
Mahboob,ta,Tamil
Mabender,ta,Tamil
Maher,ta,Tamil
Mabesb,ta,Tamil
Maheshwar,ta,Tamil
Maheshwari (also,ta,Tamil
Mabinder,ta,Tamil
Mahipal,ta,Tamil
Mabtab,ta,Tamil
Makhan,ta,Tamil
Mai,ta,Tamil
Malak,ta,Tamil
Malika,ta,Tamil
Mam,ta,Tamil
Man,ta,Tamil
Manak,ta,Tamil
Mangal,ta,Tamil
Mangat,ta,Tamil
Mange,ta,Tamil
Manghu,ta,Tamil
Manilal,ta,Tamil
Manjit,ta,Tamil
Manjula,ta,Tamil
Manmoban,ta,Tamil
Manna,ta,Tamil
Manni,ta,Tamil
Manohar,ta,Tamil
Mansa,ta,Tamil
Mansukh,ta,Tamil
Mattu,ta,Tamil
Matu,ta,Tamil
Maya,ta,Tamil
Megh,ta,Tamil
Mehar,ta,Tamil
Mehtab,ta,Tamil
Milkha,ta,Tamil
Miri,ta,Tamil
Misri,ta,Tamil
Mohan,ta,Tamil
Mohanjit,ta,Tamil
Mohinder,ta,Tamil
Mobindra,ta,Tamil
Mokand,ta,Tamil
Molu,ta,Tamil
Mool,ta,Tamil
Mota,ta,Tamil
Motan,ta,Tamil
Moti,ta,Tamil
Motiram,ta,Tamil
Mouji,ta,Tamil
Mukand,ta,Tamil
Mukat,ta,Tamil
F.) Mukbamal,ta,Tamil
Mul,ta,Tamil
Mulkh,ta,Tamil
Muni,ta,Tamil
Munjal,ta,Tamil
Munna,ta,Tamil
Munshi,ta,Tamil
Murari,ta,Tamil
Musadi,ta,Tamil
Mussadi,ta,Tamil
Nanak,ta,Tamil
Nand,ta,Tamil
Naneh,ta,Tamil
Nanja,ta,Tamil
Nannaimal,ta,Tamil
Nanu,ta,Tamil
Narain,ta,Tamil
Narender,ta,Tamil
Narendra,ta,Tamil
Naresh,ta,Tamil
Narinjan,ta,Tamil
Narotam,ta,Tamil
Narpat,ta,Tamil
Narsingh,ta,Tamil
Nath,ta,Tamil
Nathu,ta,Tamil
Natver,ta,Tamil
Natwar,ta,Tamil
Nau,ta,Tamil
Nauhria,ta,Tamil
Naurata,ta,Tamil
Naurattan,ta,Tamil
Naval,ta,Tamil
Navin,ta,Tamil
Nawab,ta,Tamil
Nawal,ta,Tamil
Neki,ta,Tamil
Nemchan,ta,Tamil
Nemi,ta,Tamil
Nibal,ta,Tamil
Niranjan,ta,Tamil
Nirmal,ta,Tamil
Nitya,ta,Tamil
Nobar,ta,Tamil
Om,ta,Tamil
Onkar,ta,Tamil
Padam,ta,Tamil
Pahoo,ta,Tamil
Pancb,ta,Tamil
Panna,ta,Tamil
Paras,ta,Tamil
Parchan,ta,Tamil
Pardban,ta,Tamil
Parduman,ta,Tamil
Paresh,ta,Tamil
Pargat,ta,Tamil
Parkash,ta,Tamil
Parma,ta,Tamil
Parman,ta,Tamil
Parmeshwar,ta,Tamil
Parmeshwari,ta,Tamil
Parmodh,ta,Tamil
Parshadi,ta,Tamil
Parshan,ta,Tamil
Parshota,ta,Tamil
Shakher,ta,Tamil
Sham,ta,Tamil
Sbambhu,ta,Tamil
Shamsher,ta,Tamil
Sbander,ta,Tamil
Shankar,ta,Tamil
Shanti,ta,Tamil
Sharada,ta,Tamil
Sharda,ta,Tamil
Shasbi,ta,Tamil
Sheel,ta,Tamil
Sheela,ta,Tamil
Sheo,ta,Tamil
Sheodan,ta,Tamil
Sber,ta,Tamil
Shia,ta,Tamil
Sharan,ta,Tamil
Shiam,ta,Tamil
Shib,ta,Tamil
Sbil,ta,Tamil
Sbila,ta,Tamil
Sbiv,ta,Tamil
Shivraj,ta,Tamil
Snori,ta,Tamil
Shourie,ta,Tamil
Shree,ta,Tamil
Shugan,ta,Tamil
Shri,ta,Tamil
Shyam,ta,Tamil
Siri,ta,Tamil
Sita,ta,Tamil
Sivdev,ta,Tamil
Siya,ta,Tamil
Sneh,ta,Tamil
Sohan,ta,Tamil
Som,ta,Tamil
Sri,ta,Tamil
Staya,ta,Tamil
Subash,ta,Tamil
Subeg,ta,Tamil
Subhash,ta,Tamil
Sudarshan,ta,Tamil
Sudersban,ta,Tamil
Sudesh,ta,Tamil
Sudh,ta,Tamil
Sugan,ta,Tamil
Sukh,ta,Tamil
Sukha,ta,Tamil
Sukhbir,ta,Tamil
Sukbdeo,ta,Tamil
Sukhdev,ta,Tamil
Sukhdyal,ta,Tamil
Sukhjinder,ta,Tamil
Sukhjit,ta,Tamil
Sulakhan,ta,Tamil
Suman,ta,Tamil
Sumitra,ta,Tamil
Sumti,ta,Tamil
Sundar,ta,Tamil
Sunder,ta,Tamil
Suraj,ta,Tamil
Suram,ta,Tamil
Surat,ta,Tamil
Surendar,ta,Tamil
Surender,ta,Tamil
Surinder,ta,Tamil
Surrinder,ta,Tamil
Susheel,ta,Tamil
Sushil,ta,Tamil
Sushila,ta,Tamil
Swadesh,ta,Tamil
Swami,ta,Tamil
Swaran,ta,Tamil
Vai,ta,Tamil
Vati,ta,Tamil
Ved,ta,Tamil
Vidya,ta,Tamil
Vimal,ta,Tamil
Vimla,ta,Tamil
Vinod,ta,Tamil
Vir,ta,Tamil
Virender,ta,Tamil
Vishnu,ta,Tamil
Vishwa,ta,Tamil
Wai,ta,Tamil
Walaiti,ta,Tamil
Wazir,ta,Tamil
Yad,ta,Tamil
Yog,ta,Tamil
Yogendra,ta,Tamil
Yogesh,ta,Tamil
Yogeshwar,ta,Tamil
Yudhvir,ta,Tamil
Taj,ta,Tamil
Tara,ta,Tamil
Tarlok,ta,Tamil
Tehl,ta,Tamil
Tej,ta,Tamil
Teja,ta,Tamil
Tek,ta,Tamil
Telu,ta,Tamil
Than,ta,Tamil
Tikka,ta,Tamil
Tikku,ta,Tamil
Tilak,ta,Tamil
Tota,ta,Tamil
Trilok,ta,Tamil
Tula,ta,Tamil
Uma,ta,Tamil
Umesh,ta,Tamil
Usha,ta,Tamil
Uttam,ta,Tamil
Zail,ta,Tamil
Zorawar,ta,Tamil
Parsbottam,ta,Tamil
Parsram,ta,Tamil
Partab,ta,Tamil
Partap,ta,Tamil
Payare,ta,Tamil
Pearey,ta,Tamil
Perkash,ta,Tamil
Peshori,ta,Tamil
Phalwant,ta,Tamil
Phool,ta,Tamil
Phul,ta,Tamil
Piar,ta,Tamil
Piara,ta,Tamil
Piare,ta,Tamil
Pindi,ta,Tamil
Pitam,ta,Tamil
Pitambar,ta,Tamil
Piyare,ta,Tamil
Prabh,ta,Tamil
Prabha,ta,Tamil
Parbhinder,ta,Tamil
Prabhu,ta,Tamil
Pradhan,ta,Tamil
Prag,ta,Tamil
Prahlad,ta,Tamil
Prakash,ta,Tamil
Pran,ta,Tamil
Pratap,ta,Tamil
Preetam,ta,Tamil
Prehlad,ta,Tamil
Prem,ta,Tamil
Pritam,ta,Tamil
Prithi,ta,Tamil
Prithpal,ta,Tamil
Prithiraj,ta,Tamil
Prithvi,ta,Tamil
Pritpal,ta,Tamil
Prodhan,ta,Tamil
Punam,ta,Tamil
Puran,ta,Tamil
Purshotam,ta,Tamil
Pyara,ta,Tamil
Pyare,ta,Tamil
Rabinder,ta,Tamil
Radha,ta,Tamil
Rohtas,ta,Tamil
Romesh,ta,Tamil
Room,ta,Tamil
Roshan,ta,Tamil
Rugh,ta,Tamil
Rup,ta,Tamil
Radhe,ta,Tamil
Radhey,ta,Tamil
Ragbbeer,ta,Tamil
Sagar,ta,Tamil
Raghbir,ta,Tamil
Ragho,ta,Tamil
Raghu,ta,Tamil
Raghubir,ta,Tamil
Raghuvir,ta,Tamil
Raj,ta,Tamil
Raja,ta,Tamil
Rajah,ta,Tamil
Raje,ta,Tamil
Rajender,ta,Tamil
Rajendra,ta,Tamil
Rajeshwar,ta,Tamil
Rajinder,ta,Tamil
Rajindra,ta,Tamil
Rajpal,ta,Tamil
Ralya,ta,Tamil
Ram,ta,Tamil
Rama,ta,Tamil
Ramdas,ta,Tamil
Ramesh,ta,Tamil
Rameshwar ,ta,Tamil
Ramjas,ta,Tamil
Ramji,ta,Tamil
Ramnik,ta,Tamil
Rampat,ta,Tamil
Ramrattan,ta,Tamil
Ramrichpal,ta,Tamil
Ran,ta,Tamil
Ranbir,ta,Tamil
Ranjit,ta,Tamil
Ratan,ta,Tamil
Rattan,ta,Tamil
Ravi,ta,Tamil
Ravinder,ta,Tamil
Rawail,ta,Tamil
Rawel,ta,Tamil
Reshmo,ta,Tamil
Rikhi,ta,Tamil
Sada,ta,Tamil
Sadhu,ta,Tamil
Saggar,ta,Tamil
Sabai,ta,Tamil
Sant,ta,Tamil
Santokh,ta,Tamil
Santosh,ta,Tamil
Saran,ta,Tamil
Sarbinder,ta,Tamil
Sarbjit,ta,Tamil
Sardar,ta,Tamil
Sardari,ta,Tamil
Sarjit,ta,Tamil
Sarnagat,ta,Tamil
Saroj,ta,Tamil
Sarrinder,ta,Tamil
Sarswati,ta,Tamil
Sarup,ta,Tamil
Sat,ta,Tamil
Satbir,ta,Tamil
Sate,ta,Tamil
Satgursaran,ta,Tamil
Satindra,ta,Tamil
Satish,ta,Tamil
Satjit,ta,Tamil
Satnam,ta,Tamil
Satpal,ta,Tamil
Satwant,ta,Tamil
Satya,ta,Tamil
Satyendra,ta,Tamil
Saudagar,ta,Tamil
Savitri,ta,Tamil
Sawai,ta,Tamil
Sawaran,ta,Tamil
Sewa,ta,Tamil
Shail,ta,Tamil
Shailender,ta,Tamil
Rajputs,ta,Tamil
Marwari,ta,Tamil
Sikh,ta,Tamil
Jain,ta,Tamil
Kayastha,ta,Tamil
Tyagi,ta,Tamil
Kayasthas,ta,Tamil
Birla,ta,Tamil
Dalmia,ta,Tamil
Khemka,ta,Tamil
Mahajan ,ta,Tamil
Singh,ta,Tamil
Tata ,ta,Tamil
Vyas ,ta,Tamil
Ahluwalia,ta,Tamil
Ahuja ,ta,Tamil
Anand ,ta,Tamil
Arora ,ta,Tamil
Bahl ,ta,Tamil
Bajwa,ta,Tamil
Batra,ta,Tamil
Bawa,ta,Tamil
Bhalla ,ta,Tamil
Bhatia,ta,Tamil
Chawla,ta,Tamil
Dasti,ta,Tamil
Dhawan,ta,Tamil
Dhillon ,ta,Tamil
Dhingra,ta,Tamil
Dogra,ta,Tamil
Dugal ,ta,Tamil
Garhwal,ta,Tamil
Gil ,ta,Tamil
Gilani,ta,Tamil
Grewal,ta,Tamil
Guglani,ta,Tamil
Gujral,ta,Tamil
Gulati,ta,Tamil
Handa,ta,Tamil
Kaushik,ta,Tamil
Kochar,ta,Tamil
Kohli ,ta,Tamil
Khosa,ta,Tamil
Khullar,ta,Tamil
Kukar,ta,Tamil
Dua,ta,Tamil
Lumba,ta,Tamil
Majitha,ta,Tamil
Malhotra,ta,Tamil
Mallik,ta,Tamil
Ojha ,ta,Tamil
Puri,ta,Tamil
Rarewala,ta,Tamil
Sachar,ta,Tamil
Sandhu,ta,Tamil
Sehgal,ta,Tamil
Sethi,ta,Tamil
Sidhu,ta,Tamil
Sondhi,ta,Tamil
Sud,ta,Tamil
Suri,ta,Tamil
Talwar,ta,Tamil
Tangri,ta,Tamil
Tiwari ,ta,Tamil
Uppal,ta,Tamil
Varma,ta,Tamil
Vatsyayan ,ta,Tamil
Vohra,ta,Tamil
Agarwal*,ta,Tamil
Agnihotri ,ta,Tamil
Asthana ,ta,Tamil
Awasthi ,ta,Tamil
Bajpai,ta,Tamil
Bansal,ta,Tamil
Bhargava,ta,Tamil
Bhatnagar ,ta,Tamil
Bhatt,ta,Tamil
Bhojpuri,ta,Tamil
Chaturvedi ,ta,Tamil
Chaube,ta,Tamil
Chauhan,ta,Tamil
"Dikshit , var",ta,Tamil
Dixit,ta,Tamil
Dube ,ta,Tamil
Dwivedi ,ta,Tamil
Gaur,ta,Tamil
Gautam,ta,Tamil
Goel ,ta,Tamil
"Goswami (Brahman,",ta,Tamil
     Assam),ta,Tamil
Gupta*,ta,Tamil
Jha,ta,Tamil
Joshi ,ta,Tamil
Kapūr ,ta,Tamil
Khanna,ta,Tamil
Punjab),ta,Tamil
"Kohli (khattri,",ta,Tamil
Kulshreshtra,ta,Tamil
Mathur ,ta,Tamil
Mehrotra ,ta,Tamil
Misra,ta,Tamil
Mohli,ta,Tamil
Nigam ,ta,Tamil
Pant ,ta,Tamil
Pathak ,ta,Tamil
Saksena ,ta,Tamil
Saxena,ta,Tamil
Sharma,ta,Tamil
Bumihar,ta,Tamil
Shukla ,ta,Tamil
Shrivastava ,ta,Tamil
Tandon,ta,Tamil
  Punjab,ta,Tamil
Trivedi ,ta,Tamil
Unai,ta,Tamil
Upadh yaya ,ta,Tamil
Vaish,ta,Tamil
"Yadav,",ta,Tamil
Jadav,ta,Tamil
Amani,ta,Tamil
Amari,ta,Tamil
Amarta,ta,Tamil
Ambalika,ta,Tamil
Ambika,ta,Tamil
Ambu,ta,Tamil
Ambuda,ta,Tamil
Ambuja,ta,Tamil
Amita,ta,Tamil
Amithi,ta,Tamil
Amiya,ta,Tamil
Amoda,ta,Tamil
Amodini,ta,Tamil
Amrapali,ta,Tamil
Amrita,ta,Tamil
Amritkala,ta,Tamil
Amrusha,ta,Tamil
Amshula,ta,Tamil
Amulya,ta,Tamil
Anagha,ta,Tamil
Anahita,ta,Tamil
Anala,ta,Tamil
Anamika,ta,Tamil
Anandalakshm,ta,Tamil
Anandamayi,ta,Tamil
Anandi,ta,Tamil
Anandini,ta,Tamil
Anandita,ta,Tamil
"Anantha, Anan",ta,Tamil
Ananya,ta,Tamil
Anarghya,ta,Tamil
Anasuya,ta,Tamil
Anathi,ta,Tamil
Anavi,ta,Tamil
Anchal,ta,Tamil
Anchita,ta,Tamil
Angana,ta,Tamil
Angarika,ta,Tamil
Anhithi,ta,Tamil
Anindita,ta,Tamil
Aninditha,ta,Tamil
Anisha,ta,Tamil
Anita,ta,Tamil
Anjali,ta,Tamil
Anjalika,ta,Tamil
Anjana,ta,Tamil
Anju,ta,Tamil
"Anjushri, Anjus",ta,Tamil
Ankita,ta,Tamil
Ankitha,ta,Tamil
Annapurna,ta,Tamil
Anokhi,ta,Tamil
Anshula,ta,Tamil
Antara,ta,Tamil
Antini,ta,Tamil
Anuga,ta,Tamil
Anula,ta,Tamil
Anulekha,ta,Tamil
Anumati,ta,Tamil
Anunitha,ta,Tamil
Anupama,ta,Tamil
Anuprabha,ta,Tamil
Anuradha,ta,Tamil
Anuragini,ta,Tamil
Anurati,ta,Tamil
Anusha,ta,Tamil
Anushri,ta,Tamil
Anusri,ta,Tamil
Anuva,ta,Tamil
Anwesha,ta,Tamil
Anya,ta,Tamil
Apala,ta,Tamil
Aparajita,ta,Tamil
Aparijita,ta,Tamil
Aparna,ta,Tamil
Apeksha,ta,Tamil
Apsara,ta,Tamil
"Apurva, Apoor",ta,Tamil
Aradhana,ta,Tamil
Arati,ta,Tamil
"Arati, Aaarti",ta,Tamil
Archa,ta,Tamil
Archan,ta,Tamil
Archana,ta,Tamil
Archisha,ta,Tamil
Archita,ta,Tamil
Ariktha,ta,Tamil
Arpana,ta,Tamil
Arpita,ta,Tamil
Arshia,ta,Tamil
Aruna,ta,Tamil
Arundhathi,ta,Tamil
Arundhati,ta,Tamil
Aruni,ta,Tamil
Arunima,ta,Tamil
Arushi,ta,Tamil
Asavari,ta,Tamil
"Aseema, Ashim",ta,Tamil
Asgari,ta,Tamil
Asha,ta,Tamil
Ashakiran,ta,Tamil
Ashalata,ta,Tamil
Ashavari,ta,Tamil
Ashis,ta,Tamil
Ashna,ta,Tamil
Ashoka,ta,Tamil
Ashritha,ta,Tamil
Asita,ta,Tamil
Aslesha,ta,Tamil
Asmita,ta,Tamil
Asvika,ta,Tamil
Atasi,ta,Tamil
Atmaja,ta,Tamil
Atreyi,ta,Tamil
Avani,ta,Tamil
"Avani, Abani",ta,Tamil
Avanti,ta,Tamil
Avantika,ta,Tamil
Ayesha,ta,Tamil
Ayushmati,ta,Tamil
Bageshri,ta,Tamil
Bakula,ta,Tamil
Bandhura,ta,Tamil
Bani,ta,Tamil
Bhagyalakshm,ta,Tamil
Bhairavi,ta,Tamil
Bhanuja,ta,Tamil
Bharati,ta,Tamil
Bhavana,ta,Tamil
Bhavani,ta,Tamil
Bhavya,ta,Tamil
Bhuvana,ta,Tamil
